Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
90. Incendies (2010),"8.3 Rate this
80 Metascore","Drama, Mystery, War","Votes: 142,676 | Gross: $6.86M",131 min,"Director: Denis Villeneuve | Stars: Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
91. 7 Kogustaki Mucize (2019),8.3 Rate this,Drama,"Votes: 28,860",132 min,"Director: Mehmet Ada Öztekin | Stars: Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal"
92. My Father and My Son (2005),8.3 Rate this,"Drama, Family","Votes: 76,075",112 min,"Director: Çagan Irmak | Stars: Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman"
93. Toy Story 3 (2010),"8.3 Rate this
92 Metascore","Animation, Adventure, Comedy","Votes: 739,974 | Gross: $415.00M",103 min,"Director: Lee Unkrich | Stars: Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
94. Inglourious Basterds (2009),"8.3 Rate this
69 Metascore","Adventure, Drama, War","Votes: 1,230,514 | Gross: $120.54M",153 min,"Director: Quentin Tarantino | Stars: Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
95. Eternal Sunshine of the Spotless Mind (2004),"8.3 Rate this
89 Metascore","Drama, Romance, Sci-Fi","Votes: 890,279 | Gross: $34.40M",108 min,"Director: Michel Gondry | Stars: Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
96. Amélie (2001),"8.3 Rate this
69 Metascore","Comedy, Romance","Votes: 690,688 | Gross: $33.23M",122 min,"Director: Jean-Pierre Jeunet | Stars: Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
101. Children of Heaven (1997),8.3 Rate this,"Drama, Family, Sport","Votes: 62,371 | Gross: $0.93M",89 min,"Director: Majid Majidi | Stars: Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
102. Toy Story (1995),"8.3 Rate this
95 Metascore","Animation, Adventure, Comedy","Votes: 864,828 | Gross: $191.80M",81 min,"Director: John Lasseter | Stars: Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
103. Braveheart (1995),"8.3 Rate this
68 Metascore","Biography, Drama, History","Votes: 941,939 | Gross: $75.60M",178 min,"Director: Mel Gibson | Stars: Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
104. Reservoir Dogs (1992),"8.3 Rate this
79 Metascore","Crime, Drama, Thriller","Votes: 896,906 | Gross: $2.83M",99 min,"Director: Quentin Tarantino | Stars: Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
105. Full Metal Jacket (1987),"8.3 Rate this
76 Metascore","Drama, War","Votes: 658,468 | Gross: $46.36M",116 min,"Director: Stanley Kubrick | Stars: Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
106. Come and See (1985),8.3 Rate this,"Drama, War","Votes: 54,323",142 min,"Director: Elem Klimov | Stars: Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
107. Aliens (1986),"8.3 Rate this
84 Metascore","Action, Adventure, Sci-Fi","Votes: 639,744 | Gross: $85.16M",137 min,"Director: James Cameron | Stars: Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser"
108. Amadeus (1984),"8.3 Rate this
88 Metascore","Biography, Drama, History","Votes: 361,186 | Gross: $51.97M",160 min,"Director: Milos Forman | Stars: F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
109. Scarface (1983),"8.3 Rate this
65 Metascore","Crime, Drama","Votes: 721,668 | Gross: $45.60M",170 min,"Director: Brian De Palma | Stars: Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
110. Star Wars: Episode VI - Return of the Jedi (1983),"8.3 Rate this
58 Metascore","Action, Adventure, Fantasy","Votes: 928,386 | Gross: $309.13M",131 min,"Director: Richard Marquand | Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
111. Das Boot (1981),"8.3 Rate this
86 Metascore","Adventure, Drama, Thriller","Votes: 226,525 | Gross: $11.49M",149 min,"Director: Wolfgang Petersen | Stars: Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
112. Taxi Driver (1976),"8.3 Rate this
94 Metascore","Crime, Drama","Votes: 703,640 | Gross: $28.26M",114 min,"Director: Martin Scorsese | Stars: Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
113. The Sting (1973),"8.3 Rate this
83 Metascore","Comedy, Crime, Drama","Votes: 236,398 | Gross: $159.60M",129 min,"Director: George Roy Hill | Stars: Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
114. A Clockwork Orange (1971),"8.3 Rate this
77 Metascore","Crime, Drama, Sci-Fi","Votes: 740,608 | Gross: $6.21M",136 min,"Director: Stanley Kubrick | Stars: Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
115. 2001: A Space Odyssey (1968),"8.3 Rate this
84 Metascore","Adventure, Sci-Fi","Votes: 588,165 | Gross: $56.95M",149 min,"Director: Stanley Kubrick | Stars: Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
116. For a Few Dollars More (1965),"8.3 Rate this
74 Metascore",Western,"Votes: 226,177 | Gross: $15.00M",132 min,"Director: Sergio Leone | Stars: Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp"
117. Lawrence of Arabia (1962),"8.3 Rate this
100 Metascore","Adventure, Biography, Drama","Votes: 261,622 | Gross: $44.82M",228 min,"Director: David Lean | Stars: Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
118. The Apartment (1960),"8.3 Rate this
94 Metascore","Comedy, Drama, Romance","Votes: 159,120 | Gross: $18.60M",125 min,"Director: Billy Wilder | Stars: Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
119. North by Northwest (1959),"8.3 Rate this
98 Metascore","Adventure, Mystery, Thriller","Votes: 291,762 | Gross: $13.28M",136 min,"Director: Alfred Hitchcock | Stars: Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis"
120. Vertigo (1958),"8.3 Rate this
100 Metascore","Mystery, Romance, Thriller","Votes: 353,034 | Gross: $3.20M",128 min,"Director: Alfred Hitchcock | Stars: James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"
